име,град,codes-score,codes-verdict,codes-max-time,lines-score,lines-verdict,lines-max-time,seq-score,seq-verdict,seq-max-time,точки
MDK,Габрово,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA,0.007,100.0,OK OK OK OK OK OK OK OK OK OK,0.11,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,295.0
IYK,Варна,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA,0.007,100.0,OK OK OK OK OK OK OK OK OK OK,0.074,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.008,290.0
AAG,Ямбол,70.0,OK OK OK OK WA OK OK OK OK OK OK WA WA OK OK WA OK WA OK WA,0.006,100.0,OK OK OK OK OK OK OK OK OK OK,0.227,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.072,270.0
ZEM,Плевен,50.0,OK OK OK WA RE OK OK OK OK OK OK OK RE RE RE RE RE RE WA WA,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.138,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,250.0
AGR,София,50.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.131,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,250.0
AIC,София,35.0,OK RE OK RE RE OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.084,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.011,235.0
BEI,Русе,50.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL RE RE TL TL,N/A,80.0,OK OK OK WA OK OK OK OK WA OK,0.059,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,230.0
VAC,Пловдив,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.294,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.009,220.0
AII,Габрово,20.0,OK OK OK OK WA RE RE RE WA WA RE TL RE RE RE RE RE RE RE TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.313,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,220.0
DVB,Габрово,20.0,OK OK OK OK RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.12,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.01,220.0
SIT,София,20.0,OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,100.0,OK OK OK OK OK OK OK OK OK OK,0.067,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.011,220.0
FTI,Шумен,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.257,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.023,220.0
LLK,Варна,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.412,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,220.0
PVD,Габрово,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.085,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.009,220.0
SCC,София,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.308,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.091,220.0
IMS,София,15.0,OK WA OK OK RE RE RE RE RE RE RE RE RE RE RE RE RE WA WA RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.311,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,215.0
AJV,София,10.0,OK WA OK WA TL TL WA WA RE WA TL TL TL WA TL WA TL WA WA RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.087,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,210.0
IYS,Шумен,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,80.0,OK OK OK OK OK OK OK OK RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.013,200.0
SDM,Хасково,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,80.0,OK OK OK OK OK OK OK TL TL OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.077,200.0
TTT,Варна,20.0,OK OK OK OK RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,70.0,OK WA OK OK OK OK WA OK WA OK,0.076,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.002,190.0
DRD,Ямбол,50.0,OK OK OK OK OK OK OK OK OK OK TL RE TL RE TL RE TL TL RE RE,N/A,40.0,WA WA OK WA WA OK OK WA OK WA,0.047,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.018,190.0
DPT,Велико Търново,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,60.0,OK OK OK OK OK OK TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,180.0
SNB,Шумен,10.0,OK WA OK WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,70.0,OK OK OK OK OK OK OK TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.021,180.0
MKD,София,0,Compilation error,N/A,80.0,OK OK OK OK OK OK OK OK TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,180.0
AND,Варна,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,60.0,OK OK OK OK OK OK TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,180.0
VAD,Габрово,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.286,53.84615384615385,OK OK OK OK OK OK OK TL TL TL TL TL TL,N/A,173.84615384615384
CII,София,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,50.0,OK WA OK OK WA WA WA WA OK OK,0.081,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.011,170.0
DDCh,София,20.0,OK OK OK OK RE RE TL TL WA WA RE RE RE WA RE TL RE RE TL WA,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.375,46.15384615384615,OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,166.15384615384616
MGM,Велико Търново,0,Compilation error,N/A,60.0,OK OK OK OK OK OK TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.008,160.0
RYA,Варна,0,Compilation error,N/A,60.0,OK OK OK OK OK OK TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,160.0
SCHN,София,0,Compilation error,N/A,60.0,OK OK OK OK OK OK TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.01,160.0
DAC,Пловдив,40.0,WA WA WA WA RE OK OK OK OK OK OK WA WA OK WA WA WA WA OK WA,N/A,10.0,OK RE RE RE RE RE RE RE RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,150.0
YBI,София,10.0,OK WA OK WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,60.0,OK OK OK OK OK OK TL TL TL TL,N/A,76.92307692307692,OK OK OK OK OK OK OK OK OK OK RE RE RE,N/A,146.9230769230769
KKI,Пловдив,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,50.0,WA OK WA WA OK OK OK WA WA OK,0.163,53.84615384615385,OK OK OK OK OK OK OK WA WA WA WA WA WA,0.004,123.84615384615384
BNS,Смолян,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,120.0
TKP,Варна,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.007,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,120.0
ETY,Велико Търново,0,Compilation error,N/A,20.0,WA WA WA OK OK WA TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.007,120.0
MPM,Русе,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.019,120.0
MKP,Бургас,15.0,WA OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,50.0,OK WA OK OK OK OK WA TL TL TL,N/A,38.46153846153846,OK OK OK OK WA OK TL TL TL TL TL TL TL,N/A,103.46153846153845
AGA,Плевен,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.062,0,Compilation error,N/A,100.0
SGG1,Варна,0,Compilation error,N/A,80.0,OK OK OK WA WA OK OK OK OK OK,0.003,7.6923076923076925,OK WA WA WA WA WA WA WA WA WA WA WA WA,0.005,87.6923076923077
GAH,Ловеч,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,60.0,OK OK OK OK OK OK TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,60.0
ARR,Стара Загора,0,Compilation error,N/A,0,Compilation error,N/A,53.84615384615385,OK OK OK OK OK OK OK TL TL TL TL TL TL,N/A,53.84615384615385
PSK,Варна,10.0,OK TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,40.0,OK WA OK WA WA WA WA WA OK OK,0.012,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,50.0
LVM,Бургас,0.0,RE WA RE WA RE WA TL TL TL TL WA RE TL WA WA TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.005,46.15384615384615,OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,46.15384615384615
MAP,Варна,0,Compilation error,N/A,0,Compilation error,N/A,30.76923076923077,OK OK OK WA OK WA WA RE RE RE RE RE RE,N/A,30.76923076923077
AAM,Пловдив,0,Compilation error,N/A,30.0,OK WA OK WA WA OK TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,30.0
AAS,София,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,10.0,OK WA WA WA WA WA WA TL TL TL,N/A,0,Compilation error,N/A,30.0
MPM,Плевен,20.0,OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,20.0
SIN,Плевен,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.416,15.384615384615385,OK OK RE RE RE RE RE RE RE RE RE RE RE,N/A,15.384615384615385
EBK,Благоевград,0,Compilation error,N/A,10.0,OK WA WA WA WA WA TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,10.0
SGG2,Варна,0,Compilation error,N/A,10.0,OK WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,10.0
DKB,Смолян,0,Compilation error,N/A,10.0,WA OK WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA TL TL TL TL,N/A,10.0
NSN,Ловеч,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.007,7.6923076923076925,OK TL TL TL TL TL TL TL TL TL TL TL TL,N/A,7.6923076923076925
MPG,Бургас,0,Compilation error,N/A,0.0,WA WA WA WA WA WA TL TL TL TL,N/A,7.6923076923076925,OK WA WA WA WA WA WA WA WA WA WA WA WA,0.005,7.6923076923076925
VYT,Бургас,0,Compilation error,N/A,0.0,RE WA WA WA WA WA TL TL TL TL,N/A,7.6923076923076925,OK WA WA WA WA WA WA WA WA WA WA WA WA,0.004,7.6923076923076925
IMZ,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
AAZ,София,0,Compilation error,N/A,0.0,WA RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
RNS,Варна,0.0,RE RE RE WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0
IIP,Русе,0,Compilation error,N/A,0.0,WA WA WA WA TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
IBB,Шумен,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.006,0,Compilation error,N/A,0.0
DTK,Смолян,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA TL TL WA WA WA WA,N/A,0.0
KBJ,София,0,Compilation error,N/A,0.0,WA WA WA WA TL WA TL TL TL TL,N/A,0,Compilation error,N/A,0.0
BII,Плевен,0,Compilation error,N/A,0.0,WA WA WA WA WA WA TL TL TL TL,N/A,0,Compilation error,N/A,0.0
NNE,Враца,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
PKC,Враца,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
DGD,Ловеч,0,Compilation error,N/A,0.0,WA WA WA WA WA WA TL TL TL TL,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
SPV,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA TL TL TL TL TL TL,N/A,0.0,TL TL WA TL TL TL TL TL TL TL TL TL TL,N/A,0.0
Vraca.xls,Враца,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
VDH,Враца,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
AAA,Варна,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
