Име,Град,Eksk,Estet,Restruct,Точки
RMM,Ямбол,100.0,99.99999999999997,100.00000000000001,300.0
DVB,Габрово,97.5,99.99999999999997,94.44444444444446,291.94444444444446
GGP,София,82.5,99.99999999999997,100.00000000000001,282.5
AIT,София,80.0,99.99999999999997,100.00000000000001,280.0
SDM,Хасково,62.5,99.99999999999997,100.00000000000001,262.5
YBI,София,72.5,43.478260869565226,100.00000000000001,215.97826086956525
BNS,Смолян,100.0,99.99999999999997,0.0,199.99999999999997
CVM,Варна,80.0,99.99999999999997,5.555555555555555,185.55555555555551
MYY,Шумен,30.0,99.99999999999997,50.00000000000001,179.99999999999997
DPT,Велико Търново,80.0,0.0,88.8888888888889,168.8888888888889
SIN,Плевен,80.0,47.82608695652175,38.88888888888889,166.71497584541063
KKK,София,100.0,4.3478260869565215,50.00000000000001,154.34782608695653
AND,Варна,2.5,95.65217391304346,38.88888888888889,137.04106280193236
RNH,Ямбол,95.0,0.0,27.77777777777778,122.77777777777777
VDM,Варна,7.5,43.478260869565226,66.66666666666667,117.6449275362319
MDD,София,65.0,47.82608695652175,0.0,112.82608695652175
BEI,Русе,47.5,47.82608695652175,16.666666666666664,111.9927536231884
NMM,Габрово,52.5,43.478260869565226,0.0,95.97826086956522
SAM,Варна,15.0,0.0,66.66666666666667,81.66666666666667
KBA,София,22.5,47.82608695652175,5.555555555555555,75.8816425120773
JAG,София,20.0,47.82608695652175,5.555555555555555,73.3816425120773
DPB,Пловдив,62.5,0.0,5.555555555555555,68.05555555555556
MPM,Русе,67.5,0.0,0.0,67.5
MGM,Велико Търново,50.0,0.0,16.666666666666664,66.66666666666666
VDH,Пловдив,22.5,39.1304347826087,0.0,61.6304347826087
MDS,Варна,55.0,0.0,0.0,55.0
ANM,Бургас,30.0,8.695652173913043,11.11111111111111,49.80676328502416
PIM,Велико Търново,0.0,43.478260869565226,0,43.478260869565226
VAD,Габрово,2.5,0.0,38.88888888888889,41.38888888888889
KMD,Шумен,17.5,0.0,11.11111111111111,28.61111111111111
ZZV,Сливен,22.5,0.0,5.555555555555555,28.055555555555557
KBK,Благоевград,15.0,0.0,11.11111111111111,26.11111111111111
IPK,Шумен,17.5,0.0,5.555555555555555,23.055555555555557
EPV,Добрич,10.0,0.0,11.11111111111111,21.11111111111111
DIC,София,15.0,0.0,5.555555555555555,20.555555555555557
AST,София,20.0,0.0,0.0,20.0
HTT,Кюстендил,10.0,8.695652173913043,0,18.695652173913043
KCC,Варна,17.5,0.0,0.0,17.5
IVB,София,5.0,0.0,11.11111111111111,16.11111111111111
KKI,Пловдив,10.0,4.3478260869565215,0.0,14.347826086956522
IKK,Враца,12.5,0.0,0,12.5
YMZ,София,10.0,0.0,0.0,10.0
RNK,Варна,10.0,0.0,0.0,10.0
TTG,Габрово,0,0.0,5.555555555555555,5.555555555555555
NGK,Ловеч,0,0,0,0
ATB,Пловдив,0,0,0,0
NMN,Ловеч,0,0,0,0
DNN,Варна,0,0,0,0
NYH,Враца,0.0,0.0,0.0,0.0
SMM1,Варна,0.0,0.0,0,0.0
MPA,Варна,0,0.0,0,0.0
EBH,Шумен,0.0,0.0,0.0,0.0
KIG,Благоевград,0,0,0,0
BNV,София,0,0.0,0,0.0
MMM,Велико Търново,0.0,0.0,0,0.0
DDM,Враца,0,0.0,0,0.0
DRR,София,0.0,0.0,0,0.0
TKK,София,0,0.0,0,0.0
