Име,Град,Grip,Sequence,Square,Точки
ROP,Варна,100.00000000000001,99.99999999999997,100.00000000000001,300.0
VNM,Варна,100.00000000000001,99.99999999999997,100.00000000000001,300.0
DIK,Шумен,100.00000000000001,99.99999999999997,27.272727272727273,227.27272727272728
BVM,София,100.00000000000001,99.99999999999997,27.272727272727273,227.27272727272728
VBZ,Пловдив,100.00000000000001,99.99999999999997,27.272727272727273,227.27272727272728
KGE,София,26.666666666666668,99.99999999999997,100.00000000000001,226.66666666666666
ISA,София,100.00000000000001,99.99999999999997,9.090909090909092,209.0909090909091
VGN,Шумен,80.0,99.99999999999997,27.272727272727273,207.27272727272725
AMG,София,100.00000000000001,99.99999999999997,0.0,200.0
GGS,София,100.00000000000001,99.99999999999997,0.0,200.0
KVS,София,100.00000000000001,99.99999999999997,0.0,200.0
APG,Варна,100.00000000000001,70.58823529411765,27.272727272727273,197.86096256684496
MTT,Варна,40.0,99.99999999999997,36.36363636363637,176.36363636363635
AKAI,София,73.33333333333333,99.99999999999997,0.0,173.33333333333331
AGM,Варна,53.33333333333333,17.647058823529413,100.00000000000001,170.98039215686276
NOP,Варна,86.66666666666667,41.1764705882353,27.272727272727273,155.11586452762924
YHU,София,20.0,99.99999999999997,27.272727272727273,147.27272727272725
DGY,София,33.333333333333336,99.99999999999997,9.090909090909092,142.4242424242424
PIU,Пловдив,40.0,0.0,100.00000000000001,140.0
ADT,София,59.99999999999999,35.294117647058826,27.272727272727273,122.56684491978609
DDA,Варна,0.0,99.99999999999997,18.181818181818183,118.18181818181816
KHK,Варна,66.66666666666666,47.05882352941177,0.0,113.72549019607843
BIG,София,40.0,70.58823529411765,0.0,110.58823529411765
KKD,София,0,99.99999999999997,9.090909090909092,109.09090909090907
DVN,Благоевград,0.0,88.23529411764704,18.181818181818183,106.41711229946523
IVP,Благоевград,80.0,5.882352941176471,18.181818181818183,104.06417112299465
PVM,София,0.0,99.99999999999997,0.0,99.99999999999997
LDK,София,53.33333333333333,35.294117647058826,0,88.62745098039215
SNS,София,59.99999999999999,0.0,18.181818181818183,78.18181818181817
GTA,Варна,46.666666666666664,0.0,27.272727272727273,73.93939393939394
GGE,Плевен,26.666666666666668,35.294117647058826,9.090909090909092,71.05169340463459
LVG,София,26.666666666666668,35.294117647058826,9.090909090909092,71.05169340463459
BLL,София,13.333333333333334,35.294117647058826,18.181818181818183,66.80926916221034
LBI,София,0,35.294117647058826,27.272727272727273,62.5668449197861
GMP,Варна,13.333333333333334,35.294117647058826,9.090909090909092,57.718360071301255
PIC,София,13.333333333333334,35.294117647058826,9.090909090909092,57.718360071301255
YNP,Пловдив,0.0,35.294117647058826,18.181818181818183,53.47593582887701
VVB,Пловдив,46.666666666666664,5.882352941176471,0.0,52.549019607843135
DML,София,0,41.1764705882353,9.090909090909092,50.26737967914439
SSI,Благоевград,13.333333333333334,17.647058823529413,18.181818181818183,49.162210338680936
RKR,Габрово,0.0,47.05882352941177,0,47.05882352941177
KAM,София,0.0,47.05882352941177,0.0,47.05882352941177
VTI,Варна,46.666666666666664,0.0,0.0,46.666666666666664
MIM,София,0.0,35.294117647058826,9.090909090909092,44.38502673796792
AAK,София,6.666666666666667,35.294117647058826,0.0,41.96078431372549
OMY,София,20.0,11.764705882352942,9.090909090909092,40.855614973262036
NVG,Варна,0,23.529411764705884,9.090909090909092,32.62032085561498
BIK,Габрово,0.0,17.647058823529413,9.090909090909092,26.737967914438507
ODR,София,13.333333333333334,0.0,0.0,13.333333333333334
DYD,Велико Търново,13.333333333333334,0,0,13.333333333333334
BHM,София,6.666666666666667,0,0.0,6.666666666666667
NDD,Шумен,0.0,5.882352941176471,0.0,5.882352941176471
CSK,Ловеч,0,5.882352941176471,0.0,5.882352941176471
LIT,София,0.0,5.882352941176471,0.0,5.882352941176471
TPD,Благоевград,0.0,5.882352941176471,0.0,5.882352941176471
DDD,Варна,0,5.882352941176471,0.0,5.882352941176471
DED,Шумен,0.0,5.882352941176471,0.0,5.882352941176471
MMM,Ловеч,0.0,5.882352941176471,0.0,5.882352941176471
VDC,Варна,0.0,0.0,0.0,0.0
KMG,Шумен,0.0,0.0,0.0,0.0
MKM,Шумен,0.0,0.0,0.0,0.0
PVP,Плевен,0.0,0.0,0.0,0.0
TBA,София,0.0,0.0,0.0,0.0
KAD,Шумен,0,0,0,0
AMG,Варна,0.0,0.0,0.0,0.0
MGA,Велико Търново,0,0.0,0,0.0
DMY,Враца,0,0,0,0
