Име,Град,Congruence,Range,Strip,Точки
VNM,Варна,99.99999999999997,99.99999999999999,100.00000000000001,299.99999999999994
KAD,София,99.99999999999997,99.99999999999999,100.00000000000001,299.99999999999994
GNI,София,82.35294117647058,99.99999999999999,100.00000000000001,282.35294117647055
OMY,София,82.35294117647058,99.99999999999999,100.00000000000001,282.35294117647055
VPG,София,82.35294117647058,99.99999999999999,100.00000000000001,282.35294117647055
YaPV,София,82.35294117647058,99.99999999999999,100.00000000000001,282.35294117647055
TCT,София,82.35294117647058,99.99999999999999,100.00000000000001,282.35294117647055
DTP,Плевен,82.35294117647058,99.99999999999999,100.00000000000001,282.35294117647055
MVK,Пловдив,82.35294117647058,99.99999999999999,94.44444444444446,276.797385620915
BVM,София,82.35294117647058,99.99999999999999,94.44444444444446,276.797385620915
AMG,София,76.47058823529412,99.99999999999999,100.00000000000001,276.4705882352941
GMP,Варна,76.47058823529412,99.99999999999999,100.00000000000001,276.4705882352941
DGY,София,76.47058823529412,99.99999999999999,100.00000000000001,276.4705882352941
DIK,Шумен,76.47058823529412,99.99999999999999,100.00000000000001,276.4705882352941
MND,София,76.47058823529412,99.99999999999999,100.00000000000001,276.4705882352941
YuRS,София,76.47058823529412,99.99999999999999,100.00000000000001,276.4705882352941
APG,Варна,76.47058823529412,99.99999999999999,100.00000000000001,276.4705882352941
BCG,София,76.47058823529412,99.99999999999999,100.00000000000001,276.4705882352941
YPP,Габрово,76.47058823529412,99.99999999999999,100.00000000000001,276.4705882352941
ROP,Варна,70.58823529411765,99.99999999999999,100.00000000000001,270.5882352941176
NOP,Варна,70.58823529411765,99.99999999999999,100.00000000000001,270.5882352941176
AIP,Русе,76.47058823529412,91.66666666666666,100.00000000000001,268.1372549019608
PVM,София,58.82352941176471,99.99999999999999,100.00000000000001,258.8235294117647
SIS,Шумен,52.94117647058824,99.99999999999999,100.00000000000001,252.94117647058823
EID,София,52.94117647058824,99.99999999999999,100.00000000000001,252.94117647058823
KVS,София,76.47058823529412,99.99999999999999,66.66666666666667,243.13725490196077
MTT,София,47.05882352941177,99.99999999999999,94.44444444444446,241.50326797385623
DDA,Варна,47.05882352941177,91.66666666666666,100.00000000000001,238.72549019607845
KKD,София,76.47058823529412,99.99999999999999,61.11111111111112,237.5816993464052
ODR,София,76.47058823529412,91.66666666666666,61.11111111111112,229.2483660130719
VGN,Шумен,58.82352941176471,91.66666666666666,72.22222222222223,222.7124183006536
BLL,София,17.647058823529413,91.66666666666666,94.44444444444446,203.75816993464053
KHK,Варна,76.47058823529412,91.66666666666666,33.333333333333336,201.47058823529412
BIG,София,70.58823529411765,91.66666666666666,38.88888888888889,201.1437908496732
GGS,София,0,99.99999999999999,100.00000000000001,200.0
MOB,Плевен,0.0,99.99999999999999,100.00000000000001,200.0
KGE,София,82.35294117647058,99.99999999999999,11.11111111111111,193.46405228758167
GTA,Варна,47.05882352941177,99.99999999999999,38.88888888888889,185.94771241830065
DDHM,Варна,82.35294117647058,99.99999999999999,0,182.35294117647055
KAM,София,70.58823529411765,99.99999999999999,11.11111111111111,181.69934640522874
EEB,София,70.58823529411765,99.99999999999999,11.11111111111111,181.69934640522874
VBZ,Пловдив,41.1764705882353,99.99999999999999,38.88888888888889,180.06535947712416
LDT,София,70.58823529411765,8.333333333333334,100.00000000000001,178.921568627451
NCC,София,11.764705882352942,99.99999999999999,61.11111111111112,172.87581699346404
BDD,София,76.47058823529412,16.666666666666668,72.22222222222223,165.359477124183
YBE,Плевен,82.35294117647058,75.0,5.555555555555555,162.90849673202612
RLC,Пловдив,70.58823529411765,16.666666666666668,61.11111111111112,148.36601307189545
VLP,София,76.47058823529412,8.333333333333334,61.11111111111112,145.91503267973857
HDS,Шумен,11.764705882352942,91.66666666666666,38.88888888888889,142.3202614379085
GTK,Пловдив,76.47058823529412,0.0,61.11111111111112,137.58169934640523
EP,София,17.647058823529413,91.66666666666666,11.11111111111111,120.42483660130719
BIK,Габрово,64.70588235294119,16.666666666666668,38.88888888888889,120.26143790849676
ISA,София,76.47058823529412,0.0,38.88888888888889,115.359477124183
NDD,София,70.58823529411765,0.0,44.44444444444445,115.03267973856211
DYS,Варна,0.0,91.66666666666666,11.11111111111111,102.77777777777777
MPM,Стара Загора,76.47058823529412,0.0,22.22222222222222,98.69281045751634
GKK,Бургас,76.47058823529412,8.333333333333334,11.11111111111111,95.91503267973856
MIM,София,0.0,50.00000000000001,38.88888888888889,88.8888888888889
VVB,Пловдив,23.529411764705884,0.0,55.555555555555564,79.08496732026146
VTI,Варна,0.0,0.0,72.22222222222223,72.22222222222223
TSG,Шумен,0.0,16.666666666666668,50.00000000000001,66.66666666666667
RKR,Габрово,0,0.0,61.11111111111112,61.11111111111112
DED,Шумен,0.0,16.666666666666668,38.88888888888889,55.55555555555556
HMI,Бургас,0.0,16.666666666666668,38.88888888888889,55.55555555555556
AKA,София,0.0,50.00000000000001,0,50.00000000000001
ADT,София,5.882352941176471,0.0,38.88888888888889,44.771241830065364
MSI,Ловеч,0,16.666666666666668,11.11111111111111,27.77777777777778
GPG,Ловеч,0,16.666666666666668,11.11111111111111,27.77777777777778
YAA,София,0.0,25.0,0,25.0
GIS,Кърджали,0,25.0,0,25.0
KZT,Кърджали,0,25.0,0,25.0
CSK,Ловеч,0.0,16.666666666666668,5.555555555555555,22.22222222222222
DYD,Велико Търново,0,16.666666666666668,0.0,16.666666666666668
IVP,Благоевград,0,8.333333333333334,5.555555555555555,13.88888888888889
MPP,Ловеч,0,0,11.11111111111111,11.11111111111111
RRT,Кърджали,0,0.0,11.11111111111111,11.11111111111111
AMG,Варна,0,0.0,11.11111111111111,11.11111111111111
SAT,Перник,0,0.0,0.0,0.0
PIC,София,0,0.0,0.0,0.0
GGR,Перник,0,0.0,0,0.0
KKS,Перник,0,0,0,0
