Име,Град,Balans,Ball,Beautiful,Точки
SSR,Шумен,99.99999999999999,100.0,99.99999999999997,300.0
KDT,София,99.99999999999999,100.0,99.99999999999997,300.0
FPD,Варна,41.66666666666667,100.0,94.11764705882351,235.7843137254902
DDL,София,99.99999999999999,88.0,47.05882352941177,235.05882352941177
VTD,София,99.99999999999999,24.0,99.99999999999997,223.99999999999994
KRS,София,99.99999999999999,40.0,76.47058823529412,216.47058823529412
DNG,София,33.333333333333336,68.0,99.99999999999997,201.33333333333331
MIN,София,0.0,100.0,99.99999999999997,199.99999999999997
VVG,Русе,99.99999999999999,44.0,52.94117647058824,196.94117647058823
LPB,София,99.99999999999999,44.0,47.05882352941177,191.05882352941177
KIG,София,99.99999999999999,44.0,47.05882352941177,191.05882352941177
GMK,София,91.66666666666666,44.0,52.94117647058824,188.6078431372549
BHB,София,99.99999999999999,32.0,47.05882352941177,179.05882352941177
IVI,Перник,99.99999999999999,32.0,47.05882352941177,179.05882352941177
IKD,Шумен,99.99999999999999,24.0,47.05882352941177,171.05882352941177
DMM,Габрово,99.99999999999999,20.0,47.05882352941177,167.05882352941177
DZT,София,99.99999999999999,44.0,11.764705882352942,155.76470588235293
MDD,Варна,99.99999999999999,44.0,5.882352941176471,149.88235294117646
AAB,София,99.99999999999999,36.0,11.764705882352942,147.76470588235293
NDL,София,99.99999999999999,44.0,0.0,144.0
AMK,Варна,0,88.0,52.94117647058824,140.94117647058823
BGM,София,16.666666666666668,44.0,76.47058823529412,137.13725490196077
IMK,Варна,16.666666666666668,44.0,76.47058823529412,137.13725490196077
KYS,Ямбол,33.333333333333336,44.0,52.94117647058824,130.27450980392157
SIP,София,33.333333333333336,44.0,47.05882352941177,124.39215686274511
MSS,Варна,99.99999999999999,24.0,0,123.99999999999999
YKT,София,99.99999999999999,12.0,11.764705882352942,123.76470588235293
DSR,София,0.0,68.0,52.94117647058824,120.94117647058823
DBS,София,33.333333333333336,44.0,41.1764705882353,118.50980392156865
BSD,София,25.0,44.0,47.05882352941177,116.05882352941177
MSP,Варна,0,20.0,94.11764705882351,114.11764705882351
DDM,Варна,16.666666666666668,44.0,52.94117647058824,113.60784313725492
KMK,София,33.333333333333336,32.0,47.05882352941177,112.39215686274511
SYM,София,0.0,32.0,76.47058823529412,108.47058823529412
KAI,София,16.666666666666668,44.0,47.05882352941177,107.72549019607844
GII,Ловеч,99.99999999999999,0.0,5.882352941176471,105.88235294117646
OVV,Варна,8.333333333333334,44.0,52.94117647058824,105.27450980392157
VLS,София,0.0,44.0,52.94117647058824,96.94117647058823
MID,София,0,80.0,11.764705882352942,91.76470588235294
EHD,София,0.0,84.0,5.882352941176471,89.88235294117646
BDA,София,0.0,44.0,41.1764705882353,85.1764705882353
MEN,София,33.333333333333336,44.0,5.882352941176471,83.2156862745098
YDD,Варна,25.0,44.0,11.764705882352942,80.76470588235294
KJJ,Добрич,0,0,70.58823529411765,70.58823529411765
DRZ,Шумен,0.0,16.0,52.94117647058824,68.94117647058823
ABN,София,0,16.0,52.94117647058824,68.94117647058823
MIY,Плевен,16.666666666666668,16.0,35.294117647058826,67.9607843137255
KZC,София,8.333333333333334,40.0,11.764705882352942,60.09803921568628
VNP,София,0,12.0,47.05882352941177,59.05882352941177
IVI,Шумен,0.0,12.0,47.05882352941177,59.05882352941177
PAL,София,0.0,44.0,11.764705882352942,55.76470588235294
PKH,София,0.0,12.0,41.1764705882353,53.1764705882353
GPY,Кърджали,0,44.0,5.882352941176471,49.88235294117647
MNB,Варна,8.333333333333334,16.0,23.529411764705884,47.86274509803922
STL,Пловдив,0.0,4.0,41.1764705882353,45.1764705882353
DLSh,София,0.0,44.0,0.0,44.0
V,Шумен,0.0,44.0,0,44.0
PAS,София,0,8.0,35.294117647058826,43.294117647058826
DKK,София,0.0,12.0,29.411764705882355,41.411764705882355
YuYaM,София,0.0,0,41.1764705882353,41.1764705882353
MSA,София,0.0,28.0,11.764705882352942,39.76470588235294
ATT,София,0.0,28.0,11.764705882352942,39.76470588235294
SGI,София,0.0,36.0,0.0,36.0
MMC,Перник,0.0,36.0,0.0,36.0
KVN,Варна,0.0,36.0,0.0,36.0
NHI,Шумен,0.0,24.0,5.882352941176471,29.88235294117647
CIB,София,0,28.0,0.0,28.0
DMI,Варна,0.0,28.0,0.0,28.0
PDP,Варна,0.0,16.0,11.764705882352942,27.764705882352942
MMY,Русе,0.0,12.0,11.764705882352942,23.764705882352942
EEI,София,0,0,23.529411764705884,23.529411764705884
TMR,София,8.333333333333334,12.0,0.0,20.333333333333336
VIA,Добрич,0,0,17.647058823529413,17.647058823529413
AMA,Бургас,16.666666666666668,0.0,0.0,16.666666666666668
MMT,София,0,0,11.764705882352942,11.764705882352942
IIF,София,0.0,0.0,11.764705882352942,11.764705882352942
TVV,Велико Търново,0.0,0.0,11.764705882352942,11.764705882352942
YIY,Велико Търново,0,0,5.882352941176471,5.882352941176471
HIB,София,0.0,0,5.882352941176471,5.882352941176471
SAA,София,0,0.0,5.882352941176471,5.882352941176471
AVV,Перник,0.0,4.0,0.0,4.0
MKD,Русе,0.0,0.0,0,0.0
PND,Кърджали,0,0,0,0
PID,Велико Търново,0,0,0.0,0.0
MVI,София,0,0,0,0
RDS,Бургас,0,0.0,0.0,0.0
API,Габрово,0,0,0.0,0.0
NGG,Перник,0,0,0.0,0.0
IIV,Русе,0,0,0,0
TIK,Плевен,0,0.0,0.0,0.0
SCR,Ловеч,0,0.0,0,0.0
SIS,Добрич,0.0,0,0,0.0
VAP,София,0,0.0,0.0,0.0
VCS,Варна,0.0,0,0.0,0.0
VSS,Варна,0.0,0,0.0,0.0
DTD,София,0.0,0.0,0.0,0.0
