Име,Град,Red,Sort,Winter,Точки
DPT,Велико Търново,100.0,100.0,100.0,300.0
BEI,Русе,100.0,84.61538461538461,100.0,284.61538461538464
SDM,Хасково,100.0,84.61538461538461,100.0,284.61538461538464
DRD,Ямбол,100.0,84.61538461538461,100.0,284.61538461538464
AIT,София,100.0,84.61538461538461,100.0,284.61538461538464
STchN,София,100.0,84.61538461538461,100.0,284.61538461538464
DVB,Габрово,100.0,76.92307692307692,100.0,276.9230769230769
BNS,Смолян,90.0,84.61538461538461,100.0,274.61538461538464
MDK,Габрово,100.0,84.61538461538461,80.0,264.61538461538464
YBI,София,100.0,84.61538461538461,70.0,254.6153846153846
IYK,Варна,70.0,76.92307692307692,100.0,246.9230769230769
RYA,Варна,65.0,84.61538461538461,70.0,219.6153846153846
AAG,Ямбол,100.0,100.0,0.0,200.0
SIN,Плевен,100.0,84.61538461538461,15.0,199.6153846153846
SIT,София,65.0,30.76923076923077,100.0,195.76923076923077
AGR,София,100.0,84.61538461538461,0.0,184.6153846153846
PVD,Габрово,100.0,84.61538461538461,0,184.6153846153846
IMS,София,70.0,23.076923076923077,90.0,183.0769230769231
FTI,Шумен,70.0,23.076923076923077,90.0,183.0769230769231
DYO,Варна,90.0,76.92307692307692,15.0,181.9230769230769
AIC,София,75.0,46.15384615384615,60.0,181.15384615384616
DAC,Пловдив,100.0,30.76923076923077,50.0,180.76923076923077
SNB,Шумен,40.0,38.46153846153846,90.0,168.46153846153845
PGP,София,40.0,23.076923076923077,100.0,163.0769230769231
LLK,Варна,100.0,23.076923076923077,30.0,153.0769230769231
MGM,Велико Търново,55.0,84.61538461538461,5.0,144.6153846153846
CII,София,40.0,23.076923076923077,75.0,138.0769230769231
IBB,Шумен,30.0,23.076923076923077,85.0,138.0769230769231
AII,Габрово,100.0,23.076923076923077,15.0,138.0769230769231
EDD,София,70.0,30.76923076923077,35.0,135.76923076923077
IYS,Шумен,15.0,23.076923076923077,90.0,128.0769230769231
TSS,Варна,100.0,23.076923076923077,0,123.07692307692308
NSN,Ловеч,10.0,100.0,10.0,120.0
MPM,Русе,65.0,23.076923076923077,25.0,113.07692307692308
GAH,Ловеч,0.0,100.0,10.0,110.0
ICS,Ловеч,0.0,100.0,10.0,110.0
VYK,Велико Търново,0,100.0,5.0,105.0
TTT,Варна,55.0,23.076923076923077,20.0,98.07692307692308
SCC,София,60.0,23.076923076923077,5.0,88.07692307692308
BPA,Сливен,70.0,0.0,0.0,70.0
IKK,Враца,40.0,23.076923076923077,0,63.07692307692308
KEM,Бургас,20.0,30.76923076923077,0,50.769230769230774
DDM,Враца,20.0,23.076923076923077,0.0,43.07692307692308
SIS,Варна,5.0,23.076923076923077,10.0,38.07692307692308
AOS,София,0,30.76923076923077,0,30.76923076923077
KKI,Варна,0.0,23.076923076923077,5.0,28.076923076923077
KKI,Пловдив,0,23.076923076923077,0,23.076923076923077
IPK,Шумен,0.0,23.076923076923077,0.0,23.076923076923077
DDK,Бургас,0,23.076923076923077,0,23.076923076923077
ETY,Велико Търново,0.0,0.0,10.0,10.0
MDD,Враца,0,7.6923076923076925,0,7.6923076923076925
IIS,Самоков,0,0.0,0,0.0
ILN,Самоков,0.0,0.0,0.0,0.0
YLP,Кюстендил,0,0.0,0,0.0
GVT,Самоков,0.0,0.0,0.0,0.0
VIK,Русе,0,0.0,0,0.0
VYT,Бургас,0,0,0,0
